title,company_name,has_company_name,salary,has_salary,url,source,description,label,id,text
Требуется водитель для экскаватора погрузчика г.Уштобе (с.Жанаталап),,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-dlya-ekskavatora-pogruzchika-g-ushtobe-s-zhanatalap-IDqMbBO.html,olx.kz,,1,458,требуется водитель для экскаватора погрузчика г уштобе с жанаталап 
Специалист по переписке с клиентами,Частная компания “Automated Communication Solutions Ltd.”,1,"от 135 000 до 350 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/131762500?hhtmFrom=vacancy_search_list,hh.kz,"мы it компания automated communication solutions ltd. разрабатываем программные решения, которые помогают другим компаниям расти и эффективно работать. мы ищем в нашу команду менеджера по работе с клиентами , чтобы вместе достигать новых результатов. сегодня наша команда насчитывает более 500 сотрудников, а наши решения применяются во многих странах мира. условия: исключительно письменная работа : переписка с потенциальными клиентами компании обучение удаленно, работа удаленно график: с 9:00 до 18:00, обед - 1 час (понедельник — пятница), сб, вс - выходные заработная плата по результатам собеседования (ставка + kpi) нет холодных звонков обязанности: рассылка сообщений потенциальным клиентам по шаблонам, ведение переписки с клиентами, предоставление необходимой информации (только письменная работа) ; организация встреч менеджеров по продажам и потенциальных клиентов (письменно) поддержание связи с клиентом до назначенной встречи формирование базы данных клиентов требования: способность к быстрому обучению хорошие навыки работы на компьютере и знание по (ms office, google workspace); знание русского языка (грамотная устная и письменная речь) активность и ответственность мы предлагаем: перспективы роста в позиции и зарплате: старший специалист / team lead официальное трудоустройство сопровождение наставниками, которые помогают на всех этапах адаптации к работе работу в комфортной и дружелюбной среде если эта вакансия вам интересна, пишите на указанный номер телефона в контактах (ватсап, телеграм) или откликайтесь тут",0,343,специалист по переписке с клиентами мы it компания automated communication solutions ltd разрабатываем программные решения которые помогают другим компаниям расти и эффективно работать мы ищем в нашу команду менеджера по работе с клиентами чтобы вместе достигать новых результатов сегодня наша команда насчитывает более 500 сотрудников а наши решения применяются во многих странах мира условия исключительно письменная работа переписка с потенциальными клиентами компании обучение удаленно работа удаленно график с 9 00 до 18 00 обед 1 час понедельник пятница сб вс выходные заработная плата по результатам собеседования ставка kpi нет холодных звонков обязанности рассылка сообщений потенциальным клиентам по шаблонам ведение переписки с клиентами предоставление необходимой информации только письменная работа организация встреч менеджеров по продажам и потенциальных клиентов письменно поддержание связи с клиентом до назначенной встречи формирование базы данных клиентов требования способность к быстрому обучению хорошие навыки работы на компьютере и знание по ms office google workspace знание русского языка грамотная устная и письменная речь активность и ответственность мы предлагаем перспективы роста в позиции и зарплате старший специалист team lead официальное трудоустройство сопровождение наставниками которые помогают на всех этапах адаптации к работе работу в комфортной и дружелюбной среде если эта вакансия вам интересна пишите на указанный номер телефона в контактах ватсап телеграм или откликайтесь тут
Администратор в студию лазерной эпиляции,ТОО Лала,1,,0,https://almaty.hh.kz/vacancy/131831768?hhtmFrom=vacancy_search_list,hh.kz,"👩‍💼 администратор студии лазерной эпиляции | высокий доход | поток клиентов 📍 алматы lalaser land — международная сеть студий лазерной эпиляции и эстетической косметологии. ✨ о работе администратор — это ключевой человек в студии, который создаёт первое впечатление и влияет на возвращаемость клиентов. у нас есть стабильный поток клиентов — вам не нужно искать их самостоятельно. ваша задача — грамотно выстроить коммуникацию, записать, удержать и довести до покупки курса процедур . 💰 доход от 250 000 и выше структура: ✔️ оклад ✔️ % с продаж абонементов и услуг ✔️ бонусы за приход и возврат клиентов 📈 чем выше ваша активность и продажи — тем выше доход. потолка нет. 🕘 график 2/2 с 09:00 до 20:00 🎯 что вы получите ✔️ официальное трудоустройство (тк рк) ✔️ полный поток клиентов ✔️ обучение продукту и продажам ✔️ поддержку команды ✔️ чёткие стандарты работы 🧾 обязанности ✔️ знание казахского языка обязательно ✔️ встреча и сопровождение клиентов ✔️ ведение записи, перезаписи и контроль графика мастеров ✔️ консультация клиентов по услугам и курсам процедур ✔️ продажа абонементов и дополнительных услуг ✔️ работа с базой клиентов (возвраты, напоминания, записи) ✔️ решение организационных вопросов в студии ✔️ наличие компьютера или ноутбука обязательно 🔎 кого мы ищем нам важны не столько опыт, сколько личные качества: ✔️ энергичность и активность ✔️ коммуникабельность и открытость ✔️ желание зарабатывать ✔️ ориентация на результат ✔️ ответственность и внимательность вы точно подойдёте, если: — легко находите контакт с людьми — умеете или хотите научиться продавать — любите живое общение — умеете держать порядок и контроль процессов ➕ будет плюсом • опыт в продажах или администрировании • опыт в бьюти-сфере • навыки работы с клиентами ❗️ но если опыта нет — обучим 🚀 возможности роста администратор → старший администратор → управляющий студии 💬 отклик если ты про деньги, результат и активную работу с людьми — откликайся. если ищешь формат «просто посидеть на ресепшене» — нам не по пути.",0,281,администратор в студию лазерной эпиляции администратор студии лазерной эпиляции высокий доход поток клиентов алматы lalaser land международная сеть студий лазерной эпиляции и эстетической косметологии о работе администратор это ключевой человек в студии который создаёт первое впечатление и влияет на возвращаемость клиентов у нас есть стабильный поток клиентов вам не нужно искать их самостоятельно ваша задача грамотно выстроить коммуникацию записать удержать и довести до покупки курса процедур доход от 250 000 и выше структура оклад с продаж абонементов и услуг бонусы за приход и возврат клиентов чем выше ваша активность и продажи тем выше доход потолка нет график 2 2 с 09 00 до 20 00 что вы получите официальное трудоустройство тк рк полный поток клиентов обучение продукту и продажам поддержку команды чёткие стандарты работы обязанности знание казахского языка обязательно встреча и сопровождение клиентов ведение записи перезаписи и контроль графика мастеров консультация клиентов по услугам и курсам процедур продажа абонементов и дополнительных услуг работа с базой клиентов возвраты напоминания записи решение организационных вопросов в студии наличие компьютера или ноутбука обязательно кого мы ищем нам важны не столько опыт сколько личные качества энергичность и активность коммуникабельность и открытость желание зарабатывать ориентация на результат ответственность и внимательность вы точно подойдёте если легко находите контакт с людьми умеете или хотите научиться продавать любите живое общение умеете держать порядок и контроль процессов будет плюсом опыт в продажах или администрировании опыт в бьюти сфере навыки работы с клиентами но если опыта нет обучим возможности роста администратор старший администратор управляющий студии отклик если ты про деньги результат и активную работу с людьми откликайся если ищешь формат просто посидеть на ресепшене нам не по пути
Оператор call-центра,ТОО Медицинский центр EMIRMED,1,"от 200 000 до 350 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/131619531?hhtmFrom=vacancy_search_list,hh.kz,"многопрофильные медицинские центры эмирмед уже 13 лет успешно работают на рынке медицинских услуг. медицинские центры эмирмед — это более 60 направлений медицины, размещенных в 13 филиалах по казахстану и мы не останавливаемся на достигнутом! главной ценностью нашей компании являются наши сотрудники. мы уверенны, что успех определяется доверием, профессионализмом, ответственностью, вовлеченностью и открытостью. обязанности входящие/исходящие звонки предоставление всей нужной информации клиенту по услугам, тарифам, процедурам и акциям компании работа с клиентскими жалобами и пожеланиями ввод в базу данных полученной информации требования желателен опыт в колл-центре любой сферы грамотная речь знание казахского/русского языков обязательно стрессоустойчивость готовность работать в команде работа в многозадачности условия мы ценим ваше время и комфорт, поэтому хотим облегчить процесс добираться до нового офиса. дневной график 2/1 с 08:00 до 20:00 ночной график 2/1 с 20:00-08:00 с таким графиком работы у вас вместо привычных 8 выходных дней получается 9-10. оклад 200 000 тенге. после успешного прохождения испытательного срока предусмотрены дополнительные бонусы в виде kpi и грейда. в среднем с бонусами выходит от 285 000 до 350 000 тенге. официальное трудоустройство бонусы выплачиваются после успешного окончания испытательного срока. испытательный срок длится 3 месяца, но он может быть сокращен до одного месяца, но не менее. на совмещение не рассматриваем привилегии для наших сотрудников мы заботимся о вашем комфорте и благополучии, поэтому предоставляем существенные корпоративные скидки: медицинские услуги : 20% скидка для вас и членов вашей семьи — это возможность получать качественную помощь по доступной цене. мебель : 20% скидка на мебель в тц домиллион — создайте уют и комфорт в своем доме. фитнес : 30% скидка на абонементы в banzai фитнес-центр, чтобы вы всегда оставались в форме. питание : выгодные корпоративные условия в нашей столовой, позволяющие наслаждаться вкусной и здоровой едой ежедневно. мы стремимся не только к профессиональному росту наших сотрудников, но и к созданию для них лучшего качества жизни!",0,276,оператор call центра многопрофильные медицинские центры эмирмед уже 13 лет успешно работают на рынке медицинских услуг медицинские центры эмирмед это более 60 направлений медицины размещенных в 13 филиалах по казахстану и мы не останавливаемся на достигнутом главной ценностью нашей компании являются наши сотрудники мы уверенны что успех определяется доверием профессионализмом ответственностью вовлеченностью и открытостью обязанности входящие исходящие звонки предоставление всей нужной информации клиенту по услугам тарифам процедурам и акциям компании работа с клиентскими жалобами и пожеланиями ввод в базу данных полученной информации требования желателен опыт в колл центре любой сферы грамотная речь знание казахского русского языков обязательно стрессоустойчивость готовность работать в команде работа в многозадачности условия мы ценим ваше время и комфорт поэтому хотим облегчить процесс добираться до нового офиса дневной график 2 1 с 08 00 до 20 00 ночной график 2 1 с 20 00 08 00 с таким графиком работы у вас вместо привычных 8 выходных дней получается 9 10 оклад 200 000 тенге после успешного прохождения испытательного срока предусмотрены дополнительные бонусы в виде kpi и грейда в среднем с бонусами выходит от 285 000 до 350 000 тенге официальное трудоустройство бонусы выплачиваются после успешного окончания испытательного срока испытательный срок длится 3 месяца но он может быть сокращен до одного месяца но не менее на совмещение не рассматриваем привилегии для наших сотрудников мы заботимся о вашем комфорте и благополучии поэтому предоставляем существенные корпоративные скидки медицинские услуги 20 скидка для вас и членов вашей семьи это возможность получать качественную помощь по доступной цене мебель 20 скидка на мебель в тц домиллион создайте уют и комфорт в своем доме фитнес 30 скидка на абонементы в banzai фитнес центр чтобы вы всегда оставались в форме питание выгодные корпоративные условия в нашей столовой позволяющие наслаждаться вкусной и здоровой едой ежедневно мы стремимся не только к профессиональному росту наших сотрудников но и к созданию для них лучшего качества жизни
"Работа в Европе, Корее , США СРОЧНО!",,0,,0,https://www.olx.kz/list/user/4WqRs/,olx.kz,,1,844,работа в европе корее сша срочно 
Торговый представитель от 200 000 тг и выше,,0,,0,https://www.olx.kz/obyavlenie/rabota/torgovyy-predstavitel-ot-200-000-tg-i-vyshe-IDqIoQS.html,olx.kz,,0,735,торговый представитель от 200 000 тг и выше 
Кондитер,ТОО GOLDENTWIST,1,от 10 000 до 20 000 ₸ за смену на руки,1,https://almaty.hh.kz/vacancy/132049206?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: сотрудник кухни (приготовление десертов) в golden twist 🍩 💰 от 10 000 тг за смену + бонусы 🕒 сменный график --- если тебе нравится готовить, работать руками и видеть результат сразу — тебе точно к нам 👇 в golden twist мы делаем трдельники, от которых люди кайфуют 😍 и сейчас ищем человека в команду кухни. --- ты нам подойдёшь, если: — любишь готовить или хочешь научиться — аккуратный(ая) и быстрый(ая) — не боишься работы в движении — хочешь стабильный доход требования: что делать: — готовить трдельники (научим с нуля) — работать с начинками: шоколад, фрукты, топпинги 🍓🍫 — красиво оформлять десерты — следить за чистотой и порядком условия: что мы предлагаем: — 💰 от 10 000 тг за смену + бонусы — 👨‍🍳 полное обучение (даже без опыта) — 🚀 рост до старшего смены / управляющего — 🤝 команду, где поддерживают — 🎁 бонусы за хорошую работу --- работа, где ты реально видишь результат своего труда и довольных клиентов 💛 откликайся прямо сейчас",0,97,кондитер обязанности сотрудник кухни приготовление десертов в golden twist от 10 000 тг за смену бонусы сменный график если тебе нравится готовить работать руками и видеть результат сразу тебе точно к нам в golden twist мы делаем трдельники от которых люди кайфуют и сейчас ищем человека в команду кухни ты нам подойдёшь если любишь готовить или хочешь научиться аккуратный ая и быстрый ая не боишься работы в движении хочешь стабильный доход требования что делать готовить трдельники научим с нуля работать с начинками шоколад фрукты топпинги красиво оформлять десерты следить за чистотой и порядком условия что мы предлагаем от 10 000 тг за смену бонусы полное обучение даже без опыта рост до старшего смены управляющего команду где поддерживают бонусы за хорошую работу работа где ты реально видишь результат своего труда и довольных клиентов откликайся прямо сейчас
Требуются охранники,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-ohranniki-IDqJQYP.html,olx.kz,,0,663,требуются охранники 
Дегустатор в магазин,ИП Чачидзе Осман Сальварович,1,от 8 000 до 20 000 ₸ за смену на руки,1,https://almaty.hh.kz/vacancy/132227056?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: стоять на стойке дегустации,разливать айран,предлагать посетителям требования: поддерживать чистоту,быть коммуникабельным,пунктуальность условия: дни недели пятница суббота воскресенье",1,110,дегустатор в магазин обязанности стоять на стойке дегустации разливать айран предлагать посетителям требования поддерживать чистоту быть коммуникабельным пунктуальность условия дни недели пятница суббота воскресенье
официантка в кафе,,0,,0,https://www.olx.kz/obyavlenie/rabota/ofitsiantka-v-kafe-IDpAriz.html,olx.kz,,0,656,официантка в кафе 
