title,company_name,has_company_name,salary,has_salary,location,url,source,description,label
Требуются озраники в сеть магазинов,,0,,0,"Алматы, Алмалинский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-ozraniki-v-set-magazinov-IDqIQCR.html,olx.kz,,
"Водители в ночную смену, 50/50, Emgrand",,0,,0,"Шымкент, Туран",https://www.olx.kz/list/user/1lRskN/,olx.kz,,
Лучший таксопарк Яндекс Такси | Яндекс такси водитель | 0% комиссия,,0,,0,"Караганда, Октябрьский район",https://www.olx.kz/obyavlenie/rabota/luchshiy-taksopark-yandeks-taksi-yandeks-taksi-voditel-0-komissiya-IDqAgv5.html,olx.kz,,
Требуются Разнорабочие,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-raznorabochie-IDjsDcI.html,olx.kz,,
Требуется люди на прицефабрику,,0,,0,Костанай,https://www.olx.kz/obyavlenie/rabota/trebuetsya-lyudi-na-pritsefabriku-IDqzoIM.html,olx.kz,,
Приглашения на работу,,0,,0,Балыкши,https://www.olx.kz/obyavlenie/rabota/priglasheniya-na-rabotu-IDqJvfT.html,olx.kz,,
Требуется опытный водитель камаза мультилифт,,0,,0,"Астана, Есильский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-opytnyy-voditel-kamaza-multilift-IDpH1u9.html,olx.kz,,
Ищу помощника(сопровождающего) для человека на кресле-коляске.,,0,,0,"Алматы, Ауэзовский район",https://www.olx.kz/obyavlenie/rabota/ischu-pomoschnikasoprovozhdayuschego-dlya-cheloveka-na-kresle-kolyaske-IDqK5XH.html,olx.kz,,
Требуется менеджер по продажам,,0,,0,Талас,https://www.olx.kz/obyavlenie/rabota/trebuetsya-menedzher-po-prodazham-IDqLSLr.html,olx.kz,,
Приму автослесаря,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/primu-avtoslesarya-IDnUaRT.html,olx.kz,,
Требуется менеджер -оператор,,0,,0,Каскелен,https://www.olx.kz/obyavlenie/rabota/trebuetsya-menedzher-operator-IDqqLnE.html,olx.kz,,
Требуется автомойщики Отеген батыр (ГРЭС),,0,,0,"Алматы, Турксибский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-avtomoyschiki-otegen-batyr-gres-IDpSTKz.html,olx.kz,,
Требуется работник,,0,,0,Талгар,https://www.olx.kz/obyavlenie/rabota/trebuetsya-rabotnik-IDqLSLa.html,olx.kz,,
Требуются дробильщики,,0,,0,"Усть-Каменогорск, Микрорайон 23",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-drobilschiki-IDqLGUu.html,olx.kz,,
Требуется мастер в пзм!,,0,,0,"Алматы, Алатауский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-master-v-pzm-IDqMfJi.html,olx.kz,,
Требуется старший продавец в супермаркет,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-starshiy-prodavets-v-supermarket-IDplBoR.html,olx.kz,,
Нужен автомойщик,,0,,0,"Астана, Нура",https://www.olx.kz/obyavlenie/rabota/nuzhen-avtomoyschik-IDqMbGK.html,olx.kz,,
Требуются водитель с опытом работы.,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/trebuyutsya-voditel-s-opytom-raboty-IDpKdNo.html,olx.kz,,
"Требуются в цех фасовщики,упаковщики.",,0,,0,"Тараз, За линией",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-v-tseh-fasovschiki-upakovschiki-IDqJwm1.html,olx.kz,,
Требуется массажист,,0,,0,"Алматы, Ауэзовский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-massazhist-IDqElto.html,olx.kz,,
Требуется скотник-пастух,,0,,0,Нуркен,https://www.olx.kz/obyavlenie/rabota/trebuetsya-skotnik-pastuh-IDqL7bl.html,olx.kz,,
Требуются разнорабочие р.Мерседес центра ОПЛАТА ЕЖЕДНЕВНАЯ 12000 т,,0,,0,"Астана, Есильский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-raznorabochie-r-mersedes-tsentra-oplata-ezhednevnaya-12000-t-IDqfqcu.html,olx.kz,,
Требуются разнорабочие ул.Ч.Айтматова ОПЛАТА ЕЖЕДНЕВНАЯ 12000,,0,,0,"Астана, Алматинский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-raznorabochie-ul-ch-aytmatova-oplata-ezhednevnaya-12000-IDqeyBO.html,olx.kz,,
Требуется водитель для экскаватора погрузчика г.Уштобе (с.Жанаталап),,0,,0,Уштобе,https://www.olx.kz/obyavlenie/rabota/trebuetsya-voditel-dlya-ekskavatora-pogruzchika-g-ushtobe-s-zhanatalap-IDqMbBO.html,olx.kz,,
Автомойка НУР ..,,0,,0,Сатпаев,https://www.olx.kz/obyavlenie/rabota/avtomoyka-nur-IDqJva0.html,olx.kz,,
Тамақ пісере алатын адам КЕРЕК,,0,,0,Сатпаев,https://www.olx.kz/obyavlenie/rabota/tama-psere-alatyn-adam-kerek-IDqLsB3.html,olx.kz,,
Работа для ТАНЦОВЩИЦ с опытом и без в клуб Астана,,0,,0,"Астана, Есильский район",https://www.olx.kz/obyavlenie/rabota/rabota-dlya-tantsovschits-s-opytom-i-bez-v-klub-astana-IDnKOY3.html,olx.kz,,
Работа на птицефабрике | 600 000–700 000 тг в месяц,,0,,0,Петропавловск,https://www.olx.kz/obyavlenie/rabota/rabota-na-ptitsefabrike-600-000700-000-tg-v-mesyats-IDqMotl.html,olx.kz,,
в Торговую компанию Требуется девушка менеджер на исходящие звонки,,0,,0,Павлодар,https://www.olx.kz/obyavlenie/rabota/v-torgovuyu-kompaniyu-trebuetsya-devushka-menedzher-na-ishodyaschie-zvonki-IDoFss8.html,olx.kz,,
Требуется бригада штукатуров.,,0,,0,Рудный,https://www.olx.kz/obyavlenie/rabota/trebuetsya-brigada-shtukaturov-IDqLSFw.html,olx.kz,,
Требуется пекарь,,0,,0,Семей,https://www.olx.kz/obyavlenie/rabota/trebuetsya-pekar-IDqKfgG.html,olx.kz,,
Помощник главного бухгалтера,,0,,0,"Караганда, Казыбекбийский район",https://www.olx.kz/obyavlenie/rabota/pomoschnik-glavnogo-buhgaltera-IDqBAod.html,olx.kz,,
"Курьер по доставке цветов 2/2,1/1",,0,,0,"Астана, Нура",https://www.olx.kz/obyavlenie/rabota/kurer-po-dostavke-tsvetov-2-2-1-1-IDqMtKR.html,olx.kz,,
Требуются повара горячего цеха,,0,,0,"Алматы, Бостандыкский район",https://www.olx.kz/obyavlenie/rabota/trebuyutsya-povara-goryachego-tseha-IDqbAyj.html,olx.kz,,
Водитель на доставку фаст фуда,,0,,0,"Усть-Каменогорск, 45-я аптека",https://www.olx.kz/obyavlenie/rabota/voditel-na-dostavku-fast-fuda-IDqKffe.html,olx.kz,,
Требуется грузчики кладовщики,,0,,0,"Шымкент, Аль-Фарабийский район",https://www.olx.kz/obyavlenie/rabota/trebuetsya-gruzchiki-kladovschiki-IDqLIR0.html,olx.kz,,
Требуется продавец!Только ДЕВУШКИ,,0,,0,Кызылорда,https://www.olx.kz/obyavlenie/rabota/trebuetsya-prodavets-tolko-devushki-IDpuVQR.html,olx.kz,,
