title,company_name,has_company_name,salary,has_salary,url,source,description,label,id
"Директор филиала, г. Астана",ТОО Казахстанская топливная компания,1,,0,https://almaty.hh.kz/vacancy/132199692?hhtmFrom=vacancy_search_list,hh.kz,"тоо ""казахстанская топливная компания"" - один из крупнейших поставщиков моторных масел и смазочных материалов в республики казахстан для государственных и коммерческих структур. мы активно развиваем филиальную сеть и ищем руководителя, который возьмет на себя управление и развитие филиала. обязанности: управление деятельностью филиала (продажи, склад, операционная работа); обеспечение выполнения планов продаж; контроль дебиторской задолженности; управление p&l филиала; формирование, развитие и контроль команды; выстраивание системной и эффективной работы филиала; управление рисками и конфликтами; координация мерчендайзинга в регионе; увеличение объемов сбыта продукции в регионе; соблюдение всех норм законодательства и разрешение конфликтных ситуаций; своевременного и успешного выполнения графиков/планов, принятых обязательств, функций, возложенных головной организацией на филиал согласно его положению; соблюдения санитарно-эпидемиологических норм. требования: - опыт в моторных маслах, автохимии или смежных отраслях будем ключевым преимуществом; - опыт управления филиалов\регионом; - навыки построения и управления командой; - ориентация на результат, а не на процесс; - стратегическое мышление; условия: график 5/2 система мотивации без потолка; поддержка со стороны руководства; стабильная заработная плата: (оклад + часть бонусов ) оформление по тк рк оплачиваемый больничный корпоративная сотовая связь ежегодный трудовой отпуск 24 календарных дня",,25
Офис-менеджер,ТОО Maximus/Максимус,1,"от 200 000 до 250 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132220837?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: ведение деловой корреспонденции; распределение звонков; встреча посетителей; ведение деловой корреспонденции на иностранном языке - обеспечение чистоты и порядка в офисе; требования: организаторские способности; коммуникабельность; терпеливость; пунктуальность; добросовестность; деловой этикет. знание английского языка условия: график работы пятидневка суббота ,воскресенье выходной работа начинается с 8-00 до 17-00 развозка есть",,315
Работа Курьером /Подработка. Требуются Курьеры,,0,,0,https://www.olx.kz/obyavlenie/rabota/rabota-kurerom-podrabotka-trebuyutsya-kurery-IDqyM5i.html,olx.kz,,,774
Главный бухгалтер,ТОО KAZAK PROTEIN,1,"от 2 000 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/132030904?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: организация и контроль работы бухгалтерской службы компании, обеспечение точности, полноты и своевременности бухгалтерского учета. ведение бухгалтерского и налогового учета в соответствии с законодательством республики казахстан, национальными стандартами бухгалтерского учета и мсфо. подготовка и своевременная сдача финансовой, налоговой и статистической отчетности в государственные органы и регулирующие структуры. обеспечение выполнения требований инвестиционных контрактов, соглашений об инвестициях и иных договорных обязательств, включая своевременную подготовку и подачу финансовой отчетности. разработка, внедрение и актуализация учетной политики, внутренних процедур, регламентов и систем финансового контроля. контроль денежных потоков, кредиторской и дебиторской задолженности, а также общей финансовой позиции компании. взаимодействие с внешними аудиторами, налоговыми органами и другими государственными и регулирующими структурами. подготовка управленческой отчетности, финансового анализа и рекомендаций для поддержки решений руководства. участие в процессах бюджетирования, финансового планирования и прогнозирования. обеспечение финансовой дисциплины и соблюдение корпоративных стандартов международной компании. требования: ​​​​​​​высшее образование в области бухгалтерского учета, финансов, экономики или смежных направлений (бакалавр/магистр). опыт работы не менее 10 лет в сфере бухгалтерского учета, не менее 2 лет на позиции главного бухгалтера. глубокие знания мсфо, национальных стандартов бухгалтерского учета и налогового законодательства республики казахстан. подтвержденный опыт подготовки финансовой отчетности и успешного прохождения внешних аудитов (опыт в международных компаниях). наличие профессиональной сертификации (acca, cpa, cap или аналогичной) будет преимуществом. продвинутые навыки работы с бухгалтерскими системами и ms excel. сильные аналитические способности, высокая внимательность к деталям, развитые навыки решения проблем. умение эффективно работать в условиях многозадачности и строгих дедлайнов. свободное владение казахским, русским и английским языками.",,418
Администратор-кассир,ТОО Alpamys school,1,от 12 000 ₸ за смену на руки,1,https://almaty.hh.kz/vacancy/131770931?hhtmFrom=vacancy_search_list,hh.kz,"💰 зарплата: 12.000 тг за смену + 5% с продаж еды и напитков обязанности прием оплаты оформление и ведение броней ведение кассовой отчетности продажа еды и напитков требования вежливая, неконфликтная, стрессоустойчивая, ответственная знание русского и казахского языков 🎯 официальное трудоустройство 📆 график работы: 2/2, с 09:00 до 21:00 и с 21:00 до 09:00 (дневные и ночные смены) ❗️ выходить только в ночную или в дневную смену нельзя, смены миксуются",,52
Требуется водители для работы в такси БЕЗ ЗАЛОГА,,0,,0,https://halykpark.olx.kz/home/,olx.kz,,,823
Требуется мастер оператор фрезерного станка мультикам,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-master-operator-frezernogo-stanka-multikam-IDq67yW.html,olx.kz,,,788
Требуется охранники день/ночь48,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-ohranniki-den-noch48-IDpZrCy.html,olx.kz,,,546
Медсестра/Медбрат,ТОО БЕРКУТ-2016,1,"от 300 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/132161783?hhtmFrom=vacancy_search_list,hh.kz,центр эстетики и красоты в поисках квалифицированной мед.сестры / медбрата процедурного кабинета . пожалуйста читайте до конца вакансию! обязанности: обеспечивает соблюдение правил асептики и антисептики в процедурном кабинете при проведении процедур. проведение в\в и в\м инъекций; ведет отчетную документации требования: знание казахского и русского языков обязательно!!! мед.образование; действующийсертификат мед.сестры / медбрата ; сан.книжка. условия: график работы 5\2(плавающие выходные в будни ) официальное трудоустройство ; обеды за счет компании.13.00-14.00,,265
Бухгалтер в филиал компании в Китае,ИП Мокеева В. О.,1,,0,https://almaty.hh.kz/vacancy/132205080?hhtmFrom=vacancy_search_list,hh.kz,"бухгалтер | релокация в китай | международное производство текстиля для дома и бизнеса! представьте: вы — часть финансового потока производственной компании, которая создает текстиль для домов, отелей, ресторанов и крупных бизнесов по всему миру. вы не просто ведете учет — вы управляете финансовым потоком производства в китае и напрямую влияете на стратегию роста. мы — динамично развивающаяся компания по производству текстиля для дома и бизнеса, которая находится в поиске бухгалтера, который готов учиться, развиваться и выстраивать финансовую систему на уровне международных стандартов. приглашаем в команду бухгалтера для ведения финансового учета производственного подразделения в китае. обязанности: ведение бухгалтерского и управленческого учета компании, будет разделение организация и контроль документооборота (поставщики, клиенты, логистика) контроль расчетов с поставщиками и покупателями ведение банковских операций, валютный контроль взаимодействие с местными бухгалтерами и налоговыми консультантами в китае требования: желателен опыт работы бухгалтером от 1-3 лет опыт в производственной компании будет преимуществом уверенное владение 1с, excel готовность к релокации в китай ответственность, самостоятельность, системность что ты получишь: 🌏 жизнь в китае — одной из самых динамичных стран мира 🏙 предоставление проживания, шикарные апартаменты со всеми условиями для комфортной жизни. возможность заниматься спортом, фитнесом, посещать бассейн. 💼 работа в международном окружении 💰 конкурентный доход 🚀 перспективы карьерного роста ✨ новый уровень окружения и возможностей это вакансия для того, кто чувствует, что готов к большему. если ты хочешь не просто работу, а статус, развитие и международную среду — отправляй резюме.",,395
