title,company_name,has_company_name,salary,has_salary,url,source,description,label,id
Требуется инженер по охране труда и техники безовасности,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-inzhener-po-ohrane-truda-i-tehniki-bezovasnosti-IDqGY3c.html,olx.kz,,,820
Бухгалтер-оператор,,0,,0,https://www.olx.kz/obyavlenie/rabota/buhgalter-operator-IDq2euy.html,olx.kz,,,707
Требуется дворник на Чингиза Айтматова,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-dvornik-na-chingiza-aytmatova-IDpE6w1.html,olx.kz,,,819
Промоутер-консультант в Табачную компанию,ТОО Get Target Agency,1,от 140 000 до 300 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/130592283?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: консультирование потребителей на торговых точках по продукции компании внесение в срм систему и регистрация потребителей требования: ответственные и энергичные люди, которые хотят зарабатывать условия: официальное трудоустройство 5/2 рабочий график с 16-00 до 20-00 ( часы работы могут быть сдвинуты по желанию)",,163
Требуется массажист в баню,,0,1 500 000 тг.,1,https://www.olx.kz/obyavlenie/rabota/trebuetsya-massazhist-v-banyu-IDqIYgt.html,olx.kz,,,603
Главный бухгалтер,ТОО Дом приёмов Астана,1,,0,https://almaty.hh.kz/vacancy/132245164?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: полное ведение бухгалтерского и налогового учета тоо (в соответствии с законодательством рк). формирование и сдача налоговой, статистической и финансовой отчетности. контроль движения тмц, себестоимости, складского учета. контроль расчетов с поставщиками и подрядчиками. контроль начисления заработной платы и налогов. организация и контроль работы бухгалтерии. участие в оптимизации финансовых процессов компании. взаимодействие с государственными органами и аудиторами. требования: высшее образование в сфере бухгалтерии, финансов или экономики. опыт работы главным бухгалтером от 5 лет. отличное знание налогового законодательства рк. уверенное владение 1с, excel и электронными порталами госорганов. опыт прохождения проверок. высокий уровень ответственности, системность, аналитическое мышление. практический опыт работы в iiko условия: работу в престижном ресторане ""дом приёмов астана"". официальное трудоустройство согласно законодательству рк. график работы 5/2; с 09:00 до 18:00 комфортные условия труда и профессиональную команду. обед бесплатно.",,153
Требуется сиделка,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-sidelka-IDpZclx.html,olx.kz,,,586
Требуется грузчик на производство. Работа в РОССИИ,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-gruzchik-na-proizvodstvo-rabota-v-rossii-IDqMs4h.html,olx.kz,,,602
Требуется разнорабочий,,0,1 500 000 тг.,1,https://www.olx.kz/obyavlenie/rabota/trebuetsya-raznorabochiy-IDqM1DL.html,olx.kz,,,681
"Администратор в Общественные ""Орловские Бани""",ТОО Sun Group,1,от 500 000 до 600 000 ₸ за месяц на руки,1,https://almaty.hh.kz/vacancy/132060364?hhtmFrom=vacancy_search_list,hh.kz,"обязанности: консультация гостей по продукту, презентация программ и услуг; запись на процедуры и программы; работа с кассовым аппаратом и терминалом; решение конфликтных ситуаций; ведение и сдача документации и отчетности руководителю подразделения. требования: образование высшее\неполное высшее\средне-специальное; опыт работы в ресторанной сфере желательно; опыт работы с iiko; дополнительное образование в области продаж (тренинги, семинары) приветствуется; опыт работы в сфере услуг от 1 года, продаж, сервиса; пк-уверенный пользователь; умение работать с разными по характеру клиентами, стрессоустойчивость; понимание правил сервисного обслуживания клиентов; способность работать в режиме многозадачности; активная жизненная позиция. условия: оформление согласно тк рк; график работы:2/2 с 9:00 до 23:00; оклад за смену 20000тг + % от продаж кухни и бар+ пенсионные отчисления; место работы: проспект туран 99; бесплатное питание; развозка.",,112
Региональный менеджер,"Евразиан Фудс Корпорэйшн, АО",1,"от 1 000 000 ₸ за месяц, до вычета налогов",1,https://almaty.hh.kz/vacancy/132188298?hhtmFrom=vacancy_search_list,hh.kz,"требования: высшее образование; опыт работы в сфере региональных продаж (управление филиальной сетью) - обязателен не менее 3 лет; навыки анализа рынка, конкурентов, объемов продаж; навыки планирования ключевых показателей и мероприятий по их достижению; практические навыки по управлению филиалами; умение вести переговоры, навыки проведения презентаций; навыки стратегических продаж; понимание правил продаж; знание основ маркетинга и трейд-маркетинга; понимание изменений рыночных тенденций в каналах сбыта, конъюнктуры, предпочтения покупателей; готовность к командировкам; результативность в достижении целей; навыки работы с учетными программами (1с8); организаторские способности. обязанности: управление филиалами компании; анализ рынка и продаж на закрепленной территории; подготовка и реализация программ развития продаж; выполнение плановых показателей курируемыми филиалами; разработка коммерческих условий и мотивации для персонала; анализ работы филиалов; работа по развитию клиентской базы в вверенных регионах; разработка и проведение трейд-маркетинговых мероприятий; мониторинг рынка региона; поиск новых направлений сбыта; управление и контроль ценовой территориальной политикой; планирование объема продаж; контроль выполнения плана продаж. выделенные требования и обязанности являются ключевыми, резюме кандидатов не соответствующие указанным параметрам - не рассматриваются. условия: возможность решения сложных задач отличная практика принятия самостоятельных решений повышение профессионального уровня оформление по тк рк.",,227
Требуется менеджер по работе с клиентами в автосервис ПЗМ,,0,,0,https://www.olx.kz/obyavlenie/rabota/trebuetsya-menedzher-po-rabote-s-klientami-v-avtoservis-pzm-IDpMB8x.html,olx.kz,,,592
Менеджер по закупкам и снабжению,ТОО АгроТехМенеджмент,1,,0,https://almaty.hh.kz/vacancy/132107085?hhtmFrom=vacancy_search_list,hh.kz,"специалист по закупкам обязанности: контроль закупочного процесса по обеспечению компании необходимыми товарами, материалами и услугами; участие в планировании и оптимизации закупок, анализ затрат; взаимодействие с внутренними подразделениями по вопросам закупок и логистики; поддержка и развитие отношений с поставщиками, участие в переговорах; подготовка отчетности по закупкам и запасам. требования: опыт работы в закупках от 3-х лет; опыт работы с поставщиками, договорами и процессами закупок; навыки ведения переговоров; знание excel, понимание финансов (бюджет, p&l); ответственность, инициативность, желание развиваться в управленческом направлении. желательные требования: опыт работы с erp-системами или автоматизированными закупками; условия: официальное трудоустройство по тк рк; отпуск 24 дня; возможность карьерного роста; предоставление корпоративной связи; график работы с 09:00 до 18:00 5/2 .",,104
Административный менеджер,ТОО KAZTOUR,1,"от 350 000 до 400 000 ₸ за месяц, на руки",1,https://almaty.hh.kz/vacancy/132059171?hhtmFrom=vacancy_search_list,hh.kz,"мы крупнейшая туристическая компания в казахстане и центральной азии, объединяющая туроператора fun&sun и туристическое агентство kaztour . у нас 20+ лет успешного опыта, 14 офисов продаж в казахстане и более 5000 партнёров по всему миру. основная цель роли обеспечить бесперебойное функционирование офисов и контроль административно-хозяйственной деятельности компании: от взаимодействия с поставщиками до оптимизации расходов. основные обязанности: административное управление: контроль расходов по административно-хозяйственному направлению. ведение договоров с поставщиками услуг (аренда, логистика, связь, ремонт, клининг и др.). мониторинг качества и сроков выполнения услуг. закупки и контроль запасов: планирование и контроль закупа продуктов питания, хозяйственных и канцелярских товаров для бэк-офисов и офисов продаж. работа с заявками подразделений, проверка остатков, своевременное пополнение. ведение учёта и отчетности по расходам. операционная поддержка: контроль состояния помещений и оборудования, организация ремонтных и сервисных работ. взаимодействие с арендодателями, клининговыми и охранными службами. поддержание комфортных условий для сотрудников. отчётность и взаимодействие: подготовка отчетов по административным расходам и договорам. взаимодействие с финансовыми и hr-подразделениями. выполнение поручений руководителя, связанных с административно-хозяйственными вопросами. требования к кандидату: опыт работы в административно-хозяйственной сфере от 2 лет . уверенное владение ms excel (сводные таблицы, формулы, отчеты). навыки ведения переговоров и взаимодействия с поставщиками. развитые коммуникативные навыки — устные и письменные. организованность, внимательность и готовность работать в динамичной среде. мы предлагаем: официальное трудоустройство по тк рк. график 5/2, с 9.00 до 18.00 современный офис в алматы (ул. жарокова, 318). корпоративные скидки на туры, обучение английскому языку. дружная команда и корпоративная культура, где ценится инициатива и ответственность.",,422
